stage,gate_name,,X,Y
The Arena,Arena IN,,390,284
The Arena,Arena OUT,,390,284
THE FUNHAUS,Berghof IN,,893,410
THE FUNHAUS,Berghof OUT,,893,410
THE BRÜCK�N STADL,Bruck IN,,92,371
THE BRÜCK�N STADL,Bruck OUT,,92,371
THE FOREST PARTY,Forest 1 IN,,512,627
THE FOREST PARTY,Forest 1 OUT,,512,627
THE FOREST PARTY,Forest 2 IN,,512,627
THE FOREST PARTY,Forest 2 OUT,,512,627
THE RACKET CLUB,Racket Main IN,,944,489
THE RACKET CLUB,Racket Main OUT,,944,489
THE RACKET CLUB,Racket VIP IN,,944,489
THE RACKET CLUB,Racket VIP OUT,,944,489
THE STREET PARTY,Street 1 IN,,656,373
THE STREET PARTY,Street 1 OUT,,656,373
THE STREET PARTY,Street 2 IN,,656,373
THE STREET PARTY,Street 2 OUT,,656,373
THE STREET PARTY,Street 3 IN,,656,373
THE STREET PARTY,Street 3 OUT,,656,373
ICE BAR,,,,
Mo's Bar,,,,
ROMPA'S REGGAE SHACK,,,,
SPORTS BAR,,,,
THE MOUNTAIN STAGE,,,,
THE POOL PARTY,,,,
THE SMIRNOFF ARCTIC DISCO DAYTIME,,,,
THE SMIRNOFF ARCTIC DISCO NIGHTIME,,,,
THE SNOW PARK TERRACE,,,,
